sheet,cell,old_formula_or_literal,new_formula_or_literal,old_cached_value,new_cached_value,change_kind
MASTER,J618,"=IFERROR(I618/E618,)","=IFERROR(I618/E618,)",,0,cached_value
MASTER,C619,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""PSF-738"")",,PSF-738,formula_or_literal+cached_value
MASTER,D619,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C619,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C619,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{3,4,5},0)))""),""PAPER BOX "")",,PAPER BOX ,formula_or_literal+cached_value
MASTER,E619,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,1,formula_or_literal+cached_value
MASTER,F619,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),35.0)",,35,formula_or_literal+cached_value
MASTER,G619,"=IFERROR(F619/E619,)","=IFERROR(F619/E619,)",,35,cached_value
MASTER,H619,"=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C619,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(ArrayFormula(VLOOKUP(C619,IMPORTRANGE(""""https://docs.google.com/spreadsheets/d/1At4vxMlQWu0WYIRqitltEBHIUQnYjazjICgAYS8TnTg/edit#gid=171411931"""",""""MASTER!D2:L""""),{7,8},0)))""),57.0)",,57,formula_or_literal+cached_value
MASTER,I619,,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),6.0)",,6,formula_or_literal+cached_value
MASTER,J619,"=IFERROR(I619/E619,)","=IFERROR(I619/E619,)",,6,cached_value
New & Old Code,,,,,,sheet_removed
Report-1,K7,"=IFERROR(__xludf.DUMMYFUNCTION(""IFNA(QUERY(IMPORTRANGE(Reports!$AA$1,""""P-DATA!$B$3:$D""""),""""SELECT SUM(Col3) WHERE Col1 CONTAINS '""""&D7&""""' LABEL SUM(Col3)'' """"))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFNA(QUERY(IMPORTRANGE(Reports!$AA$1,""""P-DATA!$B$3:$D""""),""""SELECT SUM(Col3) WHERE Col1 CONTAINS '""""&D7&""""' LABEL SUM(Col3)'' """"))""),22196.0)",,22196,formula_or_literal+cached_value
Report-1,K8,"=IFERROR(__xludf.DUMMYFUNCTION(""IFNA(QUERY(IMPORTRANGE(Reports!$AA$1,""""P-DATA!$B$3:$D""""),""""SELECT SUM(Col3) WHERE Col1 CONTAINS '""""&D8&""""' LABEL SUM(Col3)'' """"))""),"""")","=IFERROR(__xludf.DUMMYFUNCTION(""IFNA(QUERY(IMPORTRANGE(Reports!$AA$1,""""P-DATA!$B$3:$D""""),""""SELECT SUM(Col3) WHERE Col1 CONTAINS '""""&D8&""""' LABEL SUM(Col3)'' """"))""),93011.0)",,93011,formula_or_literal+cached_value
